"","Country1","Country2","Period","pi_value","year"
"133",13,5,1,0.00103011367510311,2000
"134",14,5,1,0.00168016173077081,2000
"135",15,5,1,0.00326367963225089,2000
"136",16,5,1,0.000380912841132969,2000
"137",17,5,1,0.000723567612145609,2000
"138",18,5,1,0.000632591363694983,2000
"139",19,5,1,0.0048922134356309,2000
"140",20,5,1,0.00206964031458789,2000
"141",21,5,1,0.00200888165043169,2000
"142",22,5,1,0.00267496470950357,2000
"143",23,5,1,0.00215476745854842,2000
"144",24,5,1,0.0016810456012821,2000
"145",25,5,1,0.00224866557020959,2000
"146",26,5,1,0.0043694481456222,2000
"147",27,5,1,0.00282482085166274,2000
"148",28,5,1,0.00149119358033259,2000
"149",29,5,1,0.000787888722227639,2000
"150",30,5,1,0.00519153635648297,2000
"151",1,6,1,0.012776370831155,2000
"152",2,6,1,0.00203545650188806,2000
"153",3,6,1,0.00124987070565719,2000
"154",4,6,1,0.00697550337386655,2000
"155",5,6,1,0.00299435714743793,2000
"156",6,6,1,0.907810197128719,2000
"157",7,6,1,0.00447908641339598,2000
"158",8,6,1,0.00285587259823963,2000
"159",9,6,1,0.00275167094782703,2000
"160",10,6,1,0.00488069656643398,2000
"161",11,6,1,0.00664001817428662,2000
"162",12,6,1,0.00371581269229204,2000
"163",13,6,1,0.0169994028493842,2000
"164",14,6,1,0.00198942275143269,2000
"165",15,6,1,0.00229383181711786,2000
"166",16,6,1,0.00828132576870947,2000
"167",17,6,1,0.00894763939748087,2000
"168",18,6,1,0.00234381278345322,2000
"169",19,6,1,0.00671288138642233,2000
"170",20,6,1,0.00471603129270142,2000
"171",21,6,1,0.00477345276312638,2000
"172",22,6,1,0.00106797023009398,2000
"173",23,6,1,0.00178610912877416,2000
"174",24,6,1,0.00781132742446091,2000
"175",25,6,1,0.00111558821919173,2000
"176",26,6,1,0.0012550827221628,2000
"177",27,6,1,0.00275362953538387,2000
"178",28,6,1,0.00173719936873535,2000
"179",29,6,1,0.00622608577363226,2000
"180",30,6,1,0.0112372003494078,2000
"181",1,7,1,0.00855540911667419,2000
"182",2,7,1,0.0992954096831937,2000
"183",3,7,1,0.00641215425571335,2000
"184",4,7,1,0.0048184062093322,2000
"185",5,7,1,0.0837265443501831,2000
"186",6,7,1,0.00289437424073084,2000
"187",7,7,1,0.809853101116478,2000
"188",8,7,1,0.0257168003272803,2000
"189",9,7,1,0.0301310596754904,2000
"190",10,7,1,0.0320796408870299,2000
