,m_log,y_log,l_log,K_log
0,4.765476168724366,4.77912349311153,6.576469569048224,2.746886224887408
1,4.837614352185256,4.844974178195408,6.5337888379333435,3.0395697170347034
2,4.870192453295702,4.882044059723269,6.504288173536645,3.23821756165694
3,4.820999050086961,4.897839799950911,6.486160788944089,3.416340477371649
4,4.926006530972032,5.000584958242754,6.483107351457199,3.5027305824855945
5,4.9206522332975515,5.051777237427431,6.480044561926653,3.702492623033355
6,4.902968417127004,5.0701612734102826,6.467698726104354,3.869611206171107
7,4.915716371074346,5.133442723357803,6.450470422144176,4.022718763336132
8,4.769141060902782,5.077670695432414,6.368187186350492,3.9002793174709742
9,4.695687078140147,5.073297055220967,6.342121418721152,3.8622969034054933
10,4.70420976656065,5.0869788606835895,6.352629396319567,3.81025602528045
11,4.605170185988092,5.047288611744291,6.363028103540465,3.73119033968561
12,4.756886476521308,5.120983351265121,6.366470447731438,3.709080286429698
13,4.674360371340715,5.09252245356844,6.376726947898627,3.7894654649417983
14,4.7423374607749365,5.114394528387108,6.380122536899765,3.345561337840468
15,4.68464657948987,5.119788607992779,6.3835066348840055,3.1230254992113666
16,4.633641017963786,5.141078590121546,6.38856140554563,3.807129047581962
17,4.635136672105562,5.180096735160606,6.413458957167357,3.992154939890085
