,m_log,y_log,l_log,K_log
0,4.6611818314293245,6.128178370423804,7.101675971619444,4.1380623598543815
1,4.686805470990722,6.167935690223761,7.046647277848756,4.02752789251799
2,4.68991566443415,6.191953407857386,7.01301578963963,3.8172506809537072
3,4.717507308430509,6.230678278599687,7.01301578963963,4.074520184689386
4,4.733686524223099,6.259772650376566,6.999422467507961,4.062062388301377
5,4.709232859813435,6.264730707825403,6.967909201801884,4.18044962585605
6,4.6774722427434865,6.240470757947919,6.897704943128636,4.424211699791178
7,4.481362790260019,6.052559646467793,6.773080375655535,4.687413547369108
8,4.378219396330928,5.83656358589002,6.502790045915623,4.421562802873679
9,4.513646827118286,6.074656137994746,6.513230110912307,4.6619096231806925
10,4.605140185538082,6.210800860079238,6.576469569048224,4.705845493177638
11,4.605170185988092,6.240665632741481,6.656726524178391,4.499667993627928
12,4.707609438909799,6.3373565636812454,6.70808408385307,4.394078715698023
13,4.81697772683843,6.4434951243634675,6.769641976852503,4.5196531464653225
14,4.89811588123995,6.517523551514562,6.821107472256465,4.300443678927052
15,4.933048457190794,6.551794365777062,6.851184927493743,4.602579332624164
16,4.929172133612684,6.566813066889472,6.879355804460439,4.76353625428228
17,4.969063018185296,6.625790166859585,6.90875477931522,4.8000706291555675
