,m_log,y_log,l_log,K_log
0,4.966244438761447,4.7059200890882344,6.318968113746434,0.10795714150509236
1,4.823895993425753,4.6141299273595635,6.208590026096629,1.1728690592746023
2,4.717042454091395,4.584967478670572,6.129050210060545,2.149055053862833
3,4.782696932697112,4.629862798578463,6.095824562432225,3.192572916447148
4,4.802076532443227,4.689511334421843,6.075346031088684,3.4333741133573765
5,4.701098356614927,4.763881877142913,6.068425588244111,3.280685626434514
6,4.798670691512369,4.838660029356445,6.059123195581797,3.2171242918293945
7,4.677732678789306,4.843399374720342,6.042632833682381,2.7692864005727835
8,4.42266461226406,4.631812116934513,5.918893854273146,2.433547563762543
9,4.46153073578648,4.687671407499835,5.877735781779639,2.545040955340628
10,4.581287245524759,4.768988271217486,5.8998973535824915,2.8121098710269883
11,4.605170185988092,4.810557015713042,5.921578419643816,2.6062389349555253
12,4.540812981744952,4.816241156068032,5.929589143389895,2.993955696374886
13,4.637007942836843,4.839451481712757,5.937536205082426,2.168853680366856
14,4.524643194401362,4.836281906951478,5.945420608606575,2.168853680366856
15,4.599021320401214,4.822697998516666,5.945420608606575,2.168853680366856
16,4.5494566102196785,4.859036909945142,5.955837369464831,2.168853680366856
17,4.571396212380879,4.91338990965742,5.983936280687191,2.168853680366856
